"Taxation statistics 2015–16 Companies: Key items, by industry code, 2015-16 income year1",,,,,,,,,
,,,,,,,,,
Industry code,Business description,Number of companies,Total income no.,Total income $,Total expenses no.,Total expenses $,Taxable income or loss no.,Taxable income or loss $,
29190,Other Waste Collection Services,242,221,"334,143,376",240,"303,535,061",190,"42,326,621",
29210,Waste Treatment and Disposal Services,730,669,"3,541,732,194",706,"3,333,977,200",608,"273,580,606",
29220,Waste Remediation and Materials Recovery Services,651,596,"3,809,246,944",624,"3,854,026,811",529,"163,579,016",
30110,House Construction,"16,710","14,936","35,263,844,181","16,036","33,451,323,189","13,197","1,272,637,620",
30190,Other Residential Building Construction,"9,391","8,072","21,102,636,344","8,922","19,680,896,699","7,535","814,216,929",
30200,Non-Residential Building Construction,"6,108","5,436","55,327,708,985","5,844","51,973,708,384","4,825","1,711,212,641",
31010,Road and Bridge Construction,"1,273","1,197","8,027,083,861","1,222","7,762,046,018","1,019","599,875,153",
31091,Swimming and Spa Pool Construction or Installation (Below Ground Concrete or Fibreglass),544,524,"638,060,325",531,"606,878,161",440,"30,299,824",
31099,Other Heavy and Civil Engineering Construction n.e.c.,"2,969","2,780","30,393,192,217","2,875","30,433,748,470","2,405","-75,214,593",
32110,Land Development and Subdivision,"8,603","6,144","20,222,523,083","8,030","17,428,016,340","7,119","673,509,123",
32120,Site Preparation Services,"4,950","4,730","8,005,338,469","4,815","7,575,275,558","3,881","346,949,709",
32210,Concreting Services,"3,736","3,589","4,657,495,187","3,633","4,420,766,340","2,996","210,340,758",
32220,Bricklaying Services,"1,753","1,664","1,038,866,363","1,687","993,965,165","1,339","38,696,667",
32230,Roofing Services,"2,336","2,242","4,086,015,793","2,266","3,882,054,647","1,814","247,294,266",
32240,Structural Steel Erection Services,"1,056","1,003","2,672,183,743","1,028","2,600,334,945",838,"95,177,431",
32310,Plumbing Services,"7,966","7,654","7,157,023,463","7,758","6,684,426,935","6,414","431,579,372",
32320,Electrical Services,"13,324","12,660","11,579,737,120","12,953","10,891,466,773","10,491","662,229,521",
32330,Air Conditioning and Heating Services,"3,265","3,157","6,309,569,891","3,186","5,991,265,495","2,670","310,341,583",
32340,Fire and Security Alarm Installation Services,"1,610","1,524","3,510,951,191","1,555","3,335,546,765","1,283","250,191,190",
32390,Other Building Installation Services,"3,116","2,962","4,746,383,606","3,040","4,495,848,332","2,447","246,915,786",
32410,Plastering and Ceiling Services,"3,758","3,574","3,517,227,267","3,652","3,371,557,706","2,889","129,557,787",
32420,Carpentry Services,"7,377","7,047","4,598,968,847","7,173","4,370,354,235","5,553","204,693,937",
32430,Tiling and Carpeting Services,"3,514","3,394","1,932,466,957","3,437","1,824,378,994","2,701","98,917,575",
32440,Painting and Decorating Services,"5,006","4,746","2,673,324,838","4,844","2,523,156,990","3,815","135,390,761",
32450,Glazing Services,"1,064","1,013","1,486,296,093","1,030","1,422,349,860",834,"62,533,156",
32910,Landscape Construction Services,"3,271","3,116","3,067,892,018","3,178","2,926,884,259","2,546","122,212,894",
32920,Hire of Construction Machinery with Operator,"3,444","3,226","3,791,619,236","3,340","3,653,367,390","2,733","167,736,592",
32990,Other Construction Services n.e.c.,"6,976","6,486","8,836,110,447","6,718","8,652,161,762","5,374","234,162,911",
