,,,Employee income earners,Employee income earners - median age ,Total Employee income,Median Employee income,Mean Employee income,Employee income as main source of income,Own unincorporated business income earners,Own unincorporated business income earners - median age ,Total Own unincorporated business income,Median Own unincorporated business income,Mean Own unincorporated business income,Own unincorporated business income as main source of income ,Investment income earners,Investment income earners - median age,Total Investment income,Median Investment income,Mean Investment income,Investment income as main source of income,Superannuation and annuity income earners,Superannuation and annuity income earners - median age,Total Superannuation and annuity income,Median Superannuation and annuity income,Mean Superannuation and annuity income,Superannuation and annuity income as main source of income, Total income earners (excl. Government pensions),Total income earners (excl. Government pensions and allowances) - median age,Total income (excl. Government pensions),Median Total income (excl. Government pensions),Mean Total income (excl. Government pensions),Total income (excl. Government pensions and allowances) - P80/P20,Total income (excl. Government pensions and allowances) - P80/P50,Total income (excl. Government pensions and allowances) - P20/P50 ,Total income (excl. Government pensions and allowances) - P10/P50,Total income (excl. Government pensions and allowances) - Gini coefficient,Total income (excl. Government pensions and allowances) - Income share of top 1% of earners,Total income (excl. Government pensions and allowances) - Income share of top 5% of earners,Total income (excl. Government pensions and allowances) - Income share of top 10% of earners,Total income (excl. Government pensions and allowances) - Lowest Quartile,Total income (excl. Government pensions and allowances) - Second Quartile,Total income (excl. Government pensions and allowances) - Third Quartile,Total income (excl. Government pensions and allowances) - Highest Quartile,Gross Capital Gains - Persons,Gross Capital Gains - Amount ,Gross Capital Gains - Median,Gross Capital Gains - Mean,Age Pension - Centrelink,Age Pension - DVA,Service Pension - DVA,Income Support Supplement - DVA,Carer Payment,Disability Support Pension,Newstart Allowance,Parenting Payment - Single,Parenting Payment - Partnered,Youth Allowance (Full time students/apprentices),Youth Allowance (Other),Family Tax Benefit A,Family Tax Benefit B,Persons earning $1-$499 per week,Persons earning $500-$999 per week,Persons earning $1000-$1999 per week,Persons earning $2000-$2999 per week,Persons earning $3000 or more per week,Persons earning nil income,Persons with a negative income,Median equivalised total household income (weekly)
CODE,LABEL,YEAR,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,ratio,ratio,ratio, ratio,no.,%,%,%,%,%,%,%,no.,$m,$,$,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,%,%,%,$
22250,Gannawarra (S),2013,"4,350",43,"163,749,268","34,478","37,644",63.2,"1,811",54,"26,661,052","7,121","14,722",15,"4,152",52,"32,618,016",918,"7,856",19.9,148,58,"2,564,889","8,596","17,330",1.1,"5,588",49,"219,503,486","34,224","39,281",6.02,1.81,0.3,0.09,0.503,6.3,19.7,31.1,33.4,30.9,23.2,12.5,558,12.1,"3,071","21,707","1,969",4,100,80,154,552,293,127,-,49,73,913,669,-,-,-,-,-,-,-,-
22250,Gannawarra (S),2014,"4,397",43,"168,793,870","35,005","38,388",63,"1,832",54,"33,765,485","9,981","18,431",16.9,"4,309",52,"32,940,505",833,"7,645",18.6,145,58,"3,876,213","13,210","26,733",1.2,"5,625",49,"232,466,151","36,351","41,327",5.57,1.79,0.32,0.1,0.486,5.9,18.8,30.2,32.5,30.2,24.2,13,511,13.7,"2,768","26,767","1,968",-,98,77,159,571,315,115,-,26,-,852,623,-,-,-,-,-,-,-,-
22250,Gannawarra (S),2015,"4,539",43,"180,659,138","36,286","39,802",63.1,"1,813",53,"33,062,390","9,934","18,236",17.1,"4,359",52,"33,433,602",732,"7,670",18.4,156,58,"2,663,284","10,000","17,072",1.2,"5,740",49,"240,210,857","36,970","41,849",5.41,1.77,0.33,0.1,0.481,5.6,18.3,29.9,32.7,30,24.6,12.6,515,12.8,"3,250","24,867","2,045",-,84,74,165,557,302,106,-,34,58,812,598,-,-,-,-,-,-,-,-
22250,Gannawarra (S),2016,"4,449",44,"182,713,795","37,360","41,069",64.1,"1,676",54,"15,670,596","5,612","9,350",14.2,"4,274",52,"33,680,175",585,"7,880",20.3,143,58,"3,224,353","14,253","22,548",1.2,"5,600",49,"226,175,022","35,804","40,388",6.01,1.79,0.3,0.07,0.518,6.4,19.2,30.9,34.4,30.3,23.5,11.8,492,25.6,"2,882","52,007","2,084",-,75,68,161,508,372,111,-,28,54,786,572,38.2,28.3,13.9,1.4,1.1,6,0.9,610
22250,Gannawarra (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,024",-,64,63,152,516,339,111,33,33,25,756,525,-,-,-,-,-,-,-,-
22310,Glen Eira (C),2011,"66,048",38,"3,675,819,558","43,468","55,654",71.6,"11,373",46,"314,740,786","10,911","27,674",7.2,"60,840",44,"827,146,706","1,093","13,595",19.4,"2,399",59,"50,260,661","14,585","20,951",1.2,"78,406",41,"4,790,328,292","44,594","61,096",5.52,1.98,0.36,0.16,0.501,9.2,23.4,35.3,23.2,23,22.5,31.2,"6,765",422.2,"2,786","62,416","11,857",-,-,-,513,"3,100","1,583",684,-,"1,598",112,-,-,-,-,-,-,-,-,-,929
22310,Glen Eira (C),2012,"67,714",38,"3,936,884,721","45,600","58,140",71.7,"11,493",46,"334,841,377","11,000","29,134",7,"63,011",44,"893,808,531","1,050","14,185",19.5,"2,369",59,"52,924,491","15,507","22,340",1.2,"79,937",42,"5,129,638,676","46,881","64,171",5.39,1.96,0.36,0.17,0.5,9.3,23.6,35.3,23.5,22.9,22.7,30.9,"5,903",185.7,"2,241","31,455","12,013",28,614,430,542,"3,013","1,667",630,-,"1,562",96,"5,702","4,796",-,-,-,-,-,-,-,-
22310,Glen Eira (C),2013,"69,632",39,"4,217,296,186","47,552","60,565",71.5,"11,602",46,"341,231,716","11,671","29,411",7.1,"64,469",44,"949,209,906",949,"14,724",19.4,"2,404",59,"53,966,822","15,085","22,449",1.2,"81,106",42,"5,433,055,758","49,300","66,987",5.19,1.95,0.38,0.17,0.496,9.2,23.3,35.1,23.5,22.2,23.4,30.9,"6,789",221.8,"1,644","32,665","12,057",22,512,374,567,"3,021","2,099",409,-,"1,694",191,"5,402","4,719",-,-,-,-,-,-,-,-
22310,Glen Eira (C),2014,"71,533",39,"4,495,049,110","48,959","62,839",71.5,"11,899",46,"364,215,731","11,974","30,609",7.1,"65,900",44,"1,018,894,625",907,"15,461",19.4,"2,365",59,"56,728,962","16,017","23,987",1.2,"82,642",43,"5,763,390,038","50,588","69,739",5.22,1.96,0.38,0.17,0.502,10.1,24.2,35.8,23.6,22.2,23,31.2,"7,849",362.1,"2,707","46,135","12,033",16,471,334,634,"3,004","2,280",405,-,"1,700",189,"5,375","4,630",-,-,-,-,-,-,-,-
22310,Glen Eira (C),2015,"75,245",39,"4,893,479,407","50,573","65,034",71.2,"12,145",46,"397,075,163","12,635","32,695",7.1,"68,513",44,"1,049,267,924",823,"15,315",19.8,"2,309",59,"59,874,040","17,661","25,931",1.2,"84,886",43,"6,080,842,221","51,971","71,635",5.33,1.97,0.37,0.17,0.502,9.7,24,35.7,23.7,21.8,23.1,31.4,"8,719",507.6,"3,409","58,212","12,234",15,415,294,642,"2,892","2,210",386,-,"1,543",169,"5,136","4,460",-,-,-,-,-,-,-,-
22310,Glen Eira (C),2016,"76,627",39,"5,152,559,229","52,000","67,242",71.3,"12,531",46,"421,365,722","13,000","33,626",7.2,"70,240",44,"1,087,155,245",709,"15,478",19.6,"2,265",59,"60,383,327","18,145","26,659",1.2,"86,962",42,"6,393,229,749","53,099","73,518",5.46,2,0.37,0.16,0.504,9.7,23.9,35.7,23.5,22,22.8,31.8,"8,692",525.9,"2,586","60,507","12,167",12,344,265,633,"2,753","1,982",368,-,"1,579",138,"4,975","3,960",23.2,19.9,24.7,7.4,6.1,11,0.4,"1,091"
22310,Glen Eira (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,472",7,271,218,616,"2,662","1,959",333,212,"1,380",116,"4,738","3,582",-,-,-,-,-,-,-,-
22410,Glenelg (S),2011,"9,070",42,"387,334,517","36,123","42,705",73.2,"2,646",53,"58,212,842","10,000","22,000",12.5,"7,309",49,"40,845,696",541,"5,588",12.7,301,58,"4,334,824","9,411","14,401",1,"10,779",46,"484,458,954","37,272","44,945",6.07,1.94,0.32,0.12,0.463,5.4,17.5,28.8,28.4,25.8,23.6,22.2,860,16.4,"2,307","19,069","2,585",-,-,-,253,"1,058",623,328,-,259,87,-,-,-,-,-,-,-,-,-,605
22410,Glenelg (S),2012,"9,214",42,"415,674,246","37,877","45,113",74,"2,583",53,"47,172,144","8,703","18,263",11.6,"7,483",50,"43,149,673",509,"5,766",12.7,345,58,"6,620,042","10,324","19,189",1.3,"10,726",46,"504,271,231","38,840","47,014",5.53,1.95,0.35,0.14,0.456,5.3,17.2,28.4,27.8,26.9,22.8,22.4,574,9.8,"1,924","17,083","2,642",12,171,113,284,"1,063",603,330,-,143,90,"1,619","1,364",-,-,-,-,-,-,-,-
22410,Glenelg (S),2013,"9,178",42,"422,979,529","38,295","46,086",74,"2,510",54,"23,567,427","3,669","9,389",9.7,"7,285",50,"39,687,195",475,"5,448",14.2,331,58,"8,048,885","9,733","24,317",1.4,"10,527",47,"482,794,207","37,408","45,862",6.21,2.04,0.33,0.12,0.479,5.6,17.7,29.2,31,26.8,21.7,20.6,644,10.3,834,"15,968","2,745",12,173,94,299,"1,053",758,238,-,99,125,"1,541","1,332",-,-,-,-,-,-,-,-
22410,Glenelg (S),2014,"9,268",43,"441,538,162","39,560","47,641",74.4,"2,544",54,"38,841,647","5,950","15,268",10.8,"7,349",51,"40,108,505",423,"5,458",13.3,311,58,"4,926,863","10,000","15,842",1.1,"10,545",47,"510,447,608","39,694","48,407",5.82,1.99,0.34,0.13,0.463,5.5,17.5,28.8,29.9,26.6,22.6,20.9,776,17.8,"2,800","22,884","2,763",9,160,85,331,"1,094",826,238,-,72,130,"1,508","1,336",-,-,-,-,-,-,-,-
22410,Glenelg (S),2015,"9,365",43,"457,116,882","40,830","48,811",73.1,"2,548",55,"49,533,944","9,540","19,440",12.1,"7,474",51,"44,879,330",361,"6,005",13.1,346,58,"7,370,843","11,417","21,303",1.3,"10,599",48,"539,257,346","41,437","50,878",5.49,1.97,0.36,0.14,0.461,5.9,18,29.1,28.8,26.9,22.4,21.9,739,16.6,"3,263","22,478","2,877",8,157,82,337,"1,083",845,241,-,76,124,"1,475","1,296",-,-,-,-,-,-,-,-
22410,Glenelg (S),2016,"9,359",43,"461,620,681","41,286","49,324",73,"2,470",55,"56,070,837","10,409","22,701",12.2,"7,381",51,"44,390,848",327,"6,014",13,345,58,"7,006,117","11,957","20,308",1.5,"10,535",48,"545,999,598","42,409","51,827",5.52,1.96,0.36,0.14,0.459,5.8,17.6,28.7,28.1,27.1,23.3,21.5,731,12.7,"1,500","17,376","2,961",6,143,73,355,"1,043",838,244,-,59,121,"1,411","1,155",35.3,23.8,17.7,3.5,1.4,6.3,0.5,685
22410,Glenelg (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,975",5,124,66,352,"1,033",827,235,82,78,105,"1,335","1,050",-,-,-,-,-,-,-,-
22490,Golden Plains (S),2011,"8,842",41,"394,673,949","39,972","44,636",76.9,"2,106",50,"26,414,397","6,150","12,542",9.4,"6,486",47,"39,753,772",394,"6,129",11.6,314,57,"5,954,696","13,764","18,964",1.4,"10,457",44,"463,439,581","38,827","44,319",4.99,1.78,0.36,0.14,0.45,5.9,17.5,28.3,26.2,26.3,26.9,20.6,634,21.2,"2,678","33,493","1,556",-,-,-,195,719,351,222,-,244,74,-,-,-,-,-,-,-,-,-,706
22490,Golden Plains (S),2012,"9,182",41,"433,685,156","41,792","47,232",76.7,"2,082",50,"26,575,834","6,249","12,765",9.1,"6,873",47,"44,398,872",364,"6,460",12.4,294,58,"6,739,096","16,774","22,922",1.3,"10,792",44,"506,435,497","40,338","46,927",4.86,1.8,0.37,0.15,0.444,6,17.8,28.4,26.3,26.8,26.5,20.4,512,13.3,"5,076","26,067","1,571",-,147,47,197,670,336,203,-,165,56,"1,725","1,291",-,-,-,-,-,-,-,-
22490,Golden Plains (S),2013,"9,686",41,"470,603,147","43,038","48,586",77.3,"2,078",50,"24,903,354","5,455","11,984",8.3,"7,132",47,"43,603,126",273,"6,114",12.3,328,58,"7,226,812","12,063","22,033",1.3,"11,144",44,"537,110,919","41,594","48,197",4.6,1.78,0.39,0.15,0.435,5.8,17.2,27.9,26.5,26.8,27.2,19.5,568,8.6,"2,425","15,111","1,675",-,113,32,223,670,464,147,-,123,83,"1,680","1,311",-,-,-,-,-,-,-,-
22490,Golden Plains (S),2014,"9,995",42,"499,538,108","44,344","49,979",77.5,"2,151",50,"29,838,763","6,449","13,872",8.7,"7,330",47,"43,404,012",244,"5,921",11.9,327,57,"7,387,703","13,543","22,592",1.3,"11,410",44,"569,545,635","42,933","49,916",4.58,1.78,0.39,0.16,0.434,5.6,17.2,28,26.3,27,26.6,20.1,615,14.1,"3,036","22,942","1,728",-,104,30,255,678,509,159,-,118,75,"1,687","1,346",-,-,-,-,-,-,-,-
22490,Golden Plains (S),2015,"10,592",42,"541,056,860","45,390","51,082",77.2,"2,180",51,"33,660,667","7,819","15,441",9,"7,926",46,"44,874,176",198,"5,662",12,354,57,"9,896,734","16,736","27,957",1.3,"11,925",44,"611,484,745","44,314","51,278",4.48,1.77,0.4,0.17,0.431,5.6,17.2,27.8,25.7,27,27.2,20,690,16.4,"3,501","23,800","1,824",-,100,29,264,672,514,167,-,126,72,"1,627","1,306",-,-,-,-,-,-,-,-
22490,Golden Plains (S),2016,"10,815",42,"573,748,713","46,592","53,051",77,"2,149",50,"31,459,073","6,994","14,639",8.6,"8,001",46,"49,269,793",170,"6,158",12.4,358,58,"9,030,190","15,455","25,224",1.4,"12,145",44,"642,956,632","45,217","52,940",4.62,1.8,0.39,0.16,0.438,6,17.6,28.3,25.4,27,26.6,20.9,662,34.9,"3,004","52,752","1,908",-,96,25,270,648,535,175,-,136,67,"1,573","1,168",30.2,24.7,22.6,3.5,1.6,8.2,0.6,823
22490,Golden Plains (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,906",-,83,24,265,626,550,174,43,93,67,"1,546","1,051",-,-,-,-,-,-,-,-
22620,Greater Bendigo (C),2011,"47,542",39,"1,998,477,567","37,716","42,036",77.2,"7,621",49,"137,833,805","8,134","18,086",6.8,"36,587",47,"248,071,927",411,"6,780",13.9,"2,046",58,"40,077,793","14,391","19,588",1.8,"54,629",43,"2,392,391,198","37,518","43,793",5.18,1.77,0.34,0.14,0.446,6.6,18.5,29.2,27.4,27.1,26.7,18.8,"3,509",76.3,"2,589","21,732","12,105",-,-,-,"1,231","5,339","2,735","2,090",-,"2,851",417,-,-,-,-,-,-,-,-,-,652
22620,Greater Bendigo (C),2012,"48,898",39,"2,140,410,406","39,243","43,773",77.2,"7,660",49,"146,060,903","8,498","19,068",6.6,"37,535",47,"280,287,614",414,"7,467",14.1,"1,995",59,"41,134,933","15,364","20,619",1.7,"55,518",43,"2,564,620,779","39,450","46,194",4.77,1.75,0.37,0.16,0.44,6.7,18.6,29.2,26.7,28,27.2,18.1,"2,695",72.4,"2,807","26,861","12,330",29,804,618,"1,318","5,444","2,779","2,033",-,"2,537",452,"9,227","7,318",-,-,-,-,-,-,-,-
22620,Greater Bendigo (C),2013,"49,883",39,"2,265,100,677","40,444","45,408",77,"7,610",50,"141,164,384","8,265","18,550",6.6,"37,728",47,"287,689,014",395,"7,625",14.2,"2,053",58,"43,531,945","14,708","21,204",1.7,"55,794",43,"2,680,693,226","40,894","48,046",4.59,1.76,0.38,0.16,0.438,6.6,18.5,29.1,27,28,26.9,18.1,"3,454",61.5,"1,559","17,804","12,689",27,748,571,"1,396","5,508","3,430","1,673",-,"2,399",704,"9,149","7,471",-,-,-,-,-,-,-,-
22620,Greater Bendigo (C),2014,"50,704",40,"2,375,288,260","41,784","46,846",77,"7,662",50,"145,403,798","8,489","18,977",6.6,"38,998",47,"293,405,629",315,"7,524",14.3,"2,030",58,"42,648,072","15,286","21,009",1.7,"56,605",44,"2,787,405,503","41,878","49,243",4.64,1.76,0.38,0.16,0.44,6.8,18.7,29.3,27,28,26.9,18.1,"3,930",82.2,"2,005","20,903","13,043",26,670,531,"1,537","5,626","3,797","1,770",-,"2,206",738,"9,118","7,529",-,-,-,-,-,-,-,-
22620,Greater Bendigo (C),2015,"52,561",40,"2,539,793,005","43,110","48,321",76.5,"7,895",49,"164,756,389","9,890","20,868",7,"40,947",47,"323,747,196",274,"7,906",14.5,"2,110",59,"54,307,625","16,365","25,738",1.7,"58,375",44,"2,978,786,186","43,191","51,028",4.6,1.76,0.38,0.16,0.44,6.9,18.9,29.5,26.7,27.7,27,18.5,"4,053",114.3,"2,602","28,209","13,487",25,628,484,"1,600","5,574","4,101","1,723",-,"2,003",775,"8,970","7,505",-,-,-,-,-,-,-,-
22620,Greater Bendigo (C),2016,"53,366",40,"2,662,858,246","44,554","49,898",76.5,"7,934",49,"148,171,462","8,549","18,676",6.6,"41,622",47,"326,264,870",231,"7,839",14.7,"2,075",59,"47,682,350","16,608","22,979",1.8,"59,396",44,"3,081,432,157","44,261","51,879",4.68,1.76,0.38,0.15,0.442,6.6,18.5,29.2,26.4,27.6,27.1,18.8,"3,968",193.1,"1,935","48,664","13,953",24,574,442,"1,676","5,412","4,163","1,746",-,"1,903",644,"8,903","7,222",32.2,27.1,20,3,1.4,6.4,0.4,752
22620,Greater Bendigo (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,805",23,501,389,"1,654","5,318","4,141","1,711",466,"1,682",693,"8,605","6,769",-,-,-,-,-,-,-,-
22670,Greater Dandenong (C),2011,"60,016",36,"2,289,021,235","35,731","38,140",82.3,"8,797",40,"146,890,738","12,389","16,698",8.5,"34,316",42,"102,239,648",276,"2,979",7.8,"1,253",58,"19,586,578","9,519","15,632",0.9,"65,071",38,"2,501,271,886","35,052","38,439",4.32,1.65,0.38,0.18,0.408,5.2,16,26.4,27.7,31.4,28.4,12.6,"2,043",53.0,"3,185","25,947","16,422",-,-,-,"2,117","7,292","5,482","2,337",-,"4,010",502,-,-,-,-,-,-,-,-,-,573
22670,Greater Dandenong (C),2012,"61,322",36,"2,430,060,889","37,157","39,628",82.1,"9,020",40,"154,416,596","13,138","17,119",8.7,"36,829",41,"116,710,769",256,"3,169",7.9,"1,273",58,"22,223,886","10,000","17,458",0.9,"66,075",38,"2,652,979,148","36,584","40,151",4.16,1.64,0.4,0.19,0.405,5.3,16,26.4,28.2,31.8,28.1,11.9,"1,567",42.5,"2,216","27,117","16,467",9,"1,004",266,"2,379","7,607","5,725","2,248",-,"3,556",558,"13,758","11,509",-,-,-,-,-,-,-,-
22670,Greater Dandenong (C),2013,"62,361",36,"2,545,982,605","38,144","40,827",81.4,"9,532",40,"160,444,689","13,313","16,832",9.2,"37,524",41,"126,138,090",224,"3,362",7.8,"1,302",58,"21,756,340","9,762","16,710",1,"66,428",39,"2,769,566,078","37,724","41,693",3.97,1.64,0.41,0.2,0.401,5.2,16,26.3,28.6,32,27.7,11.7,"1,729",33.0,"1,724","19,090","16,839",7,960,253,"2,510","7,627","7,192","1,694",-,"3,102",876,"13,877","11,885",-,-,-,-,-,-,-,-
22670,Greater Dandenong (C),2014,"64,063",36,"2,674,328,768","38,928","41,745",81.1,"10,009",39,"171,166,103","13,836","17,101",9.5,"39,447",41,"131,608,517",200,"3,336",8,"1,304",58,"23,936,113","9,838","18,356",0.9,"68,301",39,"2,896,131,466","38,429","42,402",4.03,1.65,0.41,0.2,0.406,5.2,16.1,26.5,28.8,31.9,27.7,11.7,"2,053",88.2,"2,967","42,975","17,009",4,939,224,"2,720","7,732","7,569","1,653",-,"2,883",894,"14,017","11,985",-,-,-,-,-,-,-,-
22670,Greater Dandenong (C),2015,"67,512",36,"2,907,117,668","40,015","43,061",80.2,"10,837",39,"195,154,747","14,780","18,008",10.1,"43,038",40,"139,770,011",165,"3,248",8.4,"1,407",58,"26,214,044","9,984","18,631",0.9,"71,582",38,"3,115,439,443","39,273","43,523",4.01,1.65,0.41,0.2,0.405,5.1,16.1,26.5,28.8,31.8,27.6,11.8,"2,288",62.1,"3,669","27,136","17,242",6,926,203,"2,798","7,452","7,466","1,640",-,"2,824",838,"13,739","11,816",-,-,-,-,-,-,-,-
22670,Greater Dandenong (C),2016,"70,093",35,"3,111,054,106","41,022","44,385",79.9,"12,005",38,"214,757,798","14,624","17,889",10.5,"45,654",39,"140,783,279",130,"3,084",8.4,"1,318",58,"25,062,806","10,000","19,016",0.9,"75,264",38,"3,333,148,348","39,845","44,286",4.11,1.67,0.41,0.19,0.411,5.1,16.2,26.7,28.8,31.6,27.5,12.1,"2,331",78.7,"3,408","33,761","17,441",6,889,190,"2,789","7,018","6,982","1,639",-,"2,683",635,"13,795","11,583",33.5,25.8,15.7,1.5,0.6,13.5,0.9,659
22670,Greater Dandenong (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"17,311",9,876,155,"2,754","6,631","6,776","1,615","1,326","2,392",633,"13,554","10,622",-,-,-,-,-,-,-,-
22750,Greater Geelong (C),2011,"100,326",39,"4,598,432,793","39,250","45,835",76.7,"13,937",47,"282,021,862","9,442","20,235",6.2,"74,610",47,"707,638,586",524,"9,485",15.1,"4,158",58,"83,819,439","13,077","20,159",1.6,"115,914",43,"5,628,700,487","38,925","48,559",5.32,1.87,0.35,0.14,0.469,8.8,21,31.7,26.3,25.9,25.2,22.6,"7,054",204.8,"2,778","29,027","27,584",-,-,-,"2,054","9,148","5,726","3,695",-,"4,540",956,-,-,-,-,-,-,-,-,-,687
22750,Greater Geelong (C),2012,"102,263",40,"4,889,829,232","40,938","47,816",76.6,"14,210",47,"290,140,899","9,668","20,418",6.1,"77,651",47,"708,157,988",500,"9,120",15.2,"4,252",58,"91,772,368","13,303","21,583",1.6,"117,325",43,"5,893,152,363","40,904","50,229",5.05,1.85,0.37,0.15,0.459,7.6,20.1,31,26.3,26.3,25.5,22,"6,219",229.1,"2,636","36,833","28,098",82,"1,779",928,"2,306","9,255","6,386","3,621",-,"3,806",991,"16,932","14,048",-,-,-,-,-,-,-,-
22750,Greater Geelong (C),2013,"104,454",40,"5,160,102,751","42,123","49,401",76.2,"14,658",46,"295,729,637","9,519","20,175",6.3,"79,253",47,"708,785,047",417,"8,943",15.3,"4,344",58,"88,933,727","12,185","20,473",1.6,"118,036",43,"6,129,188,654","42,365","51,926",4.81,1.84,0.38,0.16,0.455,7.5,19.9,30.7,26.4,26.5,25.6,21.6,"7,051",163.4,"1,814","23,177","28,896",75,"1,655",879,"2,544","9,324","7,575","2,736",-,"3,635","1,336","16,642","14,093",-,-,-,-,-,-,-,-
22750,Greater Geelong (C),2014,"107,074",40,"5,412,503,484","42,984","50,549",76.2,"14,944",46,"324,211,110","10,376","21,695",6.4,"81,553",47,"752,935,068",362,"9,232",15.3,"4,391",58,"98,932,950","13,469","22,531",1.6,"120,583",43,"6,437,156,993","43,176","53,384",4.84,1.84,0.38,0.16,0.458,7.6,20.2,31.1,26.5,26.5,25.3,21.7,"8,084",275.0,"2,579","34,022","29,399",73,"1,544",836,"2,832","9,582","8,067","2,810",-,"3,617","1,412","16,297","13,960",-,-,-,-,-,-,-,-
22750,Greater Geelong (C),2015,"112,519",40,"5,836,839,110","43,819","51,874",76,"15,724",46,"348,654,536","10,405","22,173",6.5,"86,153",46,"791,771,852",307,"9,190",15.4,"4,582",58,"109,683,892","14,241","23,938",1.7,"124,454",43,"6,837,138,968","44,227","54,937",4.78,1.83,0.38,0.16,0.46,7.8,20.5,31.4,26.3,26.6,25.4,21.7,"8,713",305.6,"2,731","35,079","30,401",64,"1,407",756,"2,989","9,501","8,370","2,851",-,"3,447","1,339","16,106","13,829",-,-,-,-,-,-,-,-
22750,Greater Geelong (C),2016,"114,675",40,"6,128,823,757","45,256","53,445",75.9,"16,024",45,"361,411,369","11,038","22,554",6.6,"89,123",46,"806,634,440",252,"9,051",15.3,"4,509",58,"106,807,090","14,772","23,688",1.7,"127,878",43,"7,139,301,767","45,141","55,829",4.87,1.84,0.38,0.16,0.459,7.6,20.2,31.1,26,26.7,25.5,21.8,"8,562",346.3,"2,308","40,445","31,162",58,"1,315",695,"3,008","9,318","8,190","2,871",-,"3,459","1,129","16,020","13,135",31.8,24.8,20.8,3.7,2,7.5,0.4,786
22750,Greater Geelong (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"30,599",50,"1,181",594,"3,026","9,137","8,120","2,858",741,"3,197","1,155","15,708","12,466",-,-,-,-,-,-,-,-
22830,Greater Shepparton (C),2011,"28,966",39,"1,133,988,405","35,367","39,149",76.7,"6,080",50,"70,447,375","5,694","11,587",8.3,"20,795",47,"164,985,577",513,"7,934",13.6,929,58,"15,644,991","9,806","16,841",1.1,"33,310",43,"1,371,710,030","35,442","41,180",5.15,1.76,0.34,0.14,0.464,7.5,19.3,30,29,28.5,26.4,16,"2,038",44.8,"2,178","21,979","6,855",-,-,-,749,"3,278","1,941","1,405",-,"1,007",348,-,-,-,-,-,-,-,-,-,636
22830,Greater Shepparton (C),2012,"29,645",39,"1,210,658,134","36,961","40,839",76.9,"5,968",50,"77,657,724","6,700","13,012",8.1,"21,862",47,"169,372,587",467,"7,747",13.5,951,58,"17,714,725","9,999","18,627",1.1,"33,656",43,"1,455,110,843","37,328","43,235",4.75,1.74,0.37,0.16,0.448,7.1,18.8,29.3,28.6,29.1,26.7,15.5,"1,625",41.4,"2,277","25,467","6,973",11,321,251,826,"3,369","2,117","1,360",-,713,369,"6,049","4,703",-,-,-,-,-,-,-,-
22830,Greater Shepparton (C),2013,"30,008",39,"1,255,120,877","37,676","41,826",76.7,"5,971",50,"78,555,626","6,152","13,156",8.1,"21,768",48,"171,562,670",399,"7,881",13.6,897,58,"17,023,353","9,999","18,978",1.1,"33,563",43,"1,495,851,172","38,217","44,568",4.66,1.75,0.38,0.16,0.447,7,18.7,29.3,29.5,28.9,26.5,15.1,"1,881",29.4,"1,505","15,620","7,260",10,305,233,887,"3,477","2,384","1,081",-,546,522,"5,974","4,710",-,-,-,-,-,-,-,-
22830,Greater Shepparton (C),2014,"30,386",40,"1,312,393,476","38,987","43,191",76.3,"6,042",50,"79,847,546","7,935","13,215",8.7,"21,983",48,"191,784,104",367,"8,724",13.5,959,58,"18,480,580","10,000","19,271",1.2,"33,861",44,"1,568,063,540","39,787","46,309",4.63,1.75,0.38,0.16,0.459,7.6,19.5,30.1,29,28.9,26.4,15.8,"2,103",51.4,"1,805","24,450","7,418",7,294,218,999,"3,569","2,461","1,094",-,458,524,"5,892","4,715",-,-,-,-,-,-,-,-
